,b_id,b_permit_type,b_category,b_action_type,b_work_type,b_value,b_issue_date,b_final_date,b_expiration_date,b_status,b_latitude,b_longitude
9369,6561938,Construction,MULTIFAMILY,NEW,Plan Review,281189.0,2017-08-02,,2019-02-02,Permit Issued,47.59633293,-122.3109124
9387,6589577,Construction,MULTIFAMILY,NEW,Plan Review,654896.0,2018-02-05,,2019-08-05,Permit Issued,47.66104841,-122.323644
9397,6574184,Construction,MULTIFAMILY,NEW,Plan Review,2054675.0,2017-12-08,,2019-06-08,Permit Issued,47.65334513,-122.3451678
9484,6504981,Construction,COMMERCIAL,NEW,Plan Review,463320.0,2016-02-24,2016-07-22,2017-08-24,Permit Closed,47.66853804,-122.3537027
9486,6392441,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,347706.0,2014-08-29,2016-01-12,2016-02-29,Permit Closed,47.54718818,-122.2983979
9490,6486166,Construction,MULTIFAMILY,NEW,Plan Review,1155440.0,2017-04-17,,2018-10-17,Permit Issued,47.58794707,-122.3954078
9499,6355773,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,397864.0,2013-06-28,2014-09-24,2014-12-28,Permit Closed,47.64832422,-122.40660859999998
9526,6361973,Construction,MULTIFAMILY,NEW,Plan Review,789104.0,2015-12-07,,2017-06-07,Permit Issued,47.53851306,-122.3680467
9529,6430298,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,429985.0,2015-04-02,2016-08-04,2016-10-02,Permit Closed,47.59504061,-122.3077544
9548,6376444,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,425172.0,2013-11-16,2014-10-23,2015-05-16,Permit Closed,47.55013304,-122.2652389
9552,6468935,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,479368.0,2015-10-14,2017-04-06,2017-04-14,Permit Closed,47.67625851,-122.2765824
9558,6170560,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,262114.0,2014-05-02,2017-12-14,2017-05-02,Permit Closed,47.57251946,-122.2872445
9562,6191843,Construction,MULTIFAMILY,NEW,Plan Review,702460.0,2014-03-31,2016-02-03,2017-03-30,Permit Closed,47.66976863,-122.3815462
9577,6514072,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,312385.0,2016-12-17,,2018-06-17,Permit Issued,47.55993618,-122.2934259
9583,6467273,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,329841.0,2015-07-20,,2017-01-20,Permit Closed,47.5449158,-122.3936932
9597,6477482,Construction,COMMERCIAL,NEW,Plan Review,2510056.0,2016-01-15,,2019-01-15,Permit Issued,47.61879678,-122.3375479
9599,6534902,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,471439.0,2016-12-16,2017-09-29,2018-06-16,Permit Closed,47.68217171,-122.3977988
9600,6410166,Construction,MULTIFAMILY,NEW,Plan Review,390052.0,2014-06-04,,2015-12-04,Permit Closed,47.55796819,-122.3624261
9614,6525927,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,463045.0,2016-08-25,2017-11-21,2018-02-25,Permit Closed,47.6931986,-122.3108732
9624,6520461,Construction,SINGLE FAMILY / DUPLEX,NEW,Plan Review,528823.0,2016-10-25,,2018-04-25,Permit Issued,47.5536813,-122.2612505
9626,6317945,Construction,MULTIFAMILY,NEW,Plan Review,811769.0,2014-03-04,2015-10-20,2015-09-04,Cert of Occupancy Authorized,47.53440207,-122.2783991
