,b_id,b_category,b_value,b_issue_date,b_final_date,b_status,b_lat,b_long
21462,6404207,MULTIFAMILY,4948813.0,2014-10-16,2016-04-15,Permit Closed,47.56015232,-122.29044679999998
21652,6322630,MULTIFAMILY,9291484.0,2015-01-23,2015-01-23,Permit Closed,47.62366955,-122.3603143
21741,6471740,COMMERCIAL,2752419.0,2016-02-29,2017-08-21,Permit Closed,47.53492262,-122.3763023
21844,6461431,COMMERCIAL,15527000.0,2015-12-07,2017-04-18,Permit Closed,47.5396309,-122.2819217
21861,6382268,MULTIFAMILY,17075859.0,2014-07-18,2016-02-19,Permit Closed,47.66976863,-122.3815462
21875,6285569,COMMERCIAL,21240528.0,2013-06-05,2014-09-22,Permit Closed,47.61834907,-122.34833059999998
21886,6455920,COMMERCIAL,27285007.0,2016-02-18,2017-08-14,Permit Closed,47.6496355,-122.3484192
21887,6345829,MULTIFAMILY,1200000.0,2015-05-05,2017-02-21,Permit Closed,47.65646419,-122.3181508
21939,6358785,INSTITUTIONAL,16407444.0,2014-06-17,2016-11-17,Permit Closed,47.64880393,-122.340799
21943,6402967,INSTITUTIONAL,1846815.0,2014-06-17,2016-11-17,Permit Closed,47.64880393,-122.340799
21945,6402966,INSTITUTIONAL,1425632.0,2014-06-17,2016-11-17,Permit Closed,47.64880393,-122.340799
21967,6374586,COMMERCIAL,13152775.0,2014-07-23,2017-12-14,Permit Closed,47.61586972,-122.3393811
22024,6363672,INSTITUTIONAL,16080523.0,2014-09-03,2017-01-27,Permit Closed,47.56549837,-122.3969031
22077,6298606,MULTIFAMILY,1937463.0,2013-04-25,2014-11-19,Permit Closed,47.65181878,-122.3437114
22114,6365079,COMMERCIAL,10226666.0,2013-10-02,2015-06-11,Permit Closed,47.58580679,-122.3231212
22160,6414126,INSTITUTIONAL,14348045.0,2015-10-07,2017-07-11,Permit Closed,47.72369199,-122.3067701
22249,6494029,MULTIFAMILY,1477470.0,2016-09-19,2017-10-18,Permit Closed,47.62573494,-122.31960890000002
22315,6442754,INDUSTRIAL,1917833.0,2015-02-28,2016-01-26,Permit Closed,47.58195201,-122.357711
22360,6332258,COMMERCIAL,19941156.0,2015-06-06,2017-03-03,Permit Closed,47.69908317,-122.3281009
22394,6430723,MULTIFAMILY,2316819.0,2015-08-19,2017-05-12,Cert of Occupancy Authorized,47.66697624,-122.3139188
22447,6362067,MULTIFAMILY,1924615.0,2014-09-20,2015-10-02,Permit Closed,47.60187557,-122.3108216
22457,6368859,MULTIFAMILY,10666169.0,2015-01-07,2017-03-23,Permit Closed,47.64827306,-122.3357527
22526,6360802,COMMERCIAL,5584163.0,2014-08-18,2015-11-20,Permit Closed,47.65295277,-122.3559441
22542,6333247,SINGLE FAMILY / DUPLEX,1103114.0,2015-07-09,2017-11-20,Permit Closed,47.56094981,-122.3530227
22577,6308275,MULTIFAMILY,10137862.0,2015-01-15,2015-03-02,Permit Closed,47.61994888,-122.3238534
